year,departamento,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,AMAZONAS,Accidentes de transporte terrestre,7,22,15,68.18181818181817,0.3181818181818182
2017,AMAZONAS,Accidentes por Ahogamiento y sumersión,3,31,28,90.32258064516128,0.0967741935483871
2017,AMAZONAS,Accidentes por otro tipo de transporte,3,16,13,81.25,0.1875
2017,AMAZONAS,Accidentes que obstruyen la respiración,1,18,17,94.44444444444444,0.05555555555555555
2017,AMAZONAS,"Anemias hemoliticas, aplasticas y otras anemias",9,23,14,60.86956521739131,0.391304347826087
2017,AMAZONAS,Aneurimas,1,4,3,75.0,0.25
2017,AMAZONAS,"Apendicitis, hernia de la cavidad abdominal y obstrucción intestinal",5,22,17,77.27272727272727,0.22727272727272727
2017,AMAZONAS,Arteriosclerosis,1,1,0,0.0,1.0
2017,AMAZONAS,Caídas,1,1,0,0.0,1.0
2017,AMAZONAS,Cirrosis y ciertas otras enfermedades crónicas del hígado,12,92,80,86.95652173913044,0.13043478260869565
2017,AMAZONAS,Defectos de la coagulación en organos hematopoyeticos y trastornos que afectan al mecanismo de la inmunidad,3,9,6,66.66666666666666,0.3333333333333333
2017,AMAZONAS,Deficiencias nutricionales y anemias nutricionales,7,12,5,41.66666666666667,0.5833333333333334
2017,AMAZONAS,Degeneracion de sistemas multiples,1,0,-1,,
2017,AMAZONAS,Diabetes mellitus,12,82,70,85.36585365853658,0.14634146341463414
2017,AMAZONAS,Edema Pulmonar,1,11,10,90.9090909090909,0.09090909090909091
2017,AMAZONAS,Edema cerebral,5,27,22,81.48148148148148,0.18518518518518517
2017,AMAZONAS,"Enfermedad cardiopulmonar, enfermedades de la circulación pulmonar",3,19,16,84.21052631578947,0.15789473684210525
2017,AMAZONAS,Enfermedad de Alzheimer,3,0,-3,,
2017,AMAZONAS,Enfermedad del parkinson,3,6,3,50.0,0.5
2017,AMAZONAS,Enfermedad por el VIH (SIDA),2,15,13,86.66666666666667,0.13333333333333333
2017,AMAZONAS,Enfermedad pulmonar intersticial,3,37,34,91.8918918918919,0.08108108108108109
2017,AMAZONAS,Enfermedad pulmonar obstructiva cronica (EPOC),5,11,6,54.54545454545454,0.45454545454545453
2017,AMAZONAS,Enfermedades cerebrovasculares,13,157,144,91.71974522292994,0.08280254777070063
2017,AMAZONAS,Enfermedades de la piel,3,15,12,80.0,0.2
2017,AMAZONAS,"Enfermedades del esofago, estomago y del duodeno",7,19,12,63.1578947368421,0.3684210526315789
2017,AMAZONAS,"Enfermedades del peritoneo, peritonitis y otros",2,9,7,77.77777777777779,0.2222222222222222
2017,AMAZONAS,Enfermedades del pulmon debidas a agentes externos,8,13,5,38.46153846153847,0.6153846153846154
2017,AMAZONAS,Enfermedades hipertensivas,53,113,60,53.09734513274337,0.4690265486725664
