year,ggrupos,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,Afecciones perinatales,1270,4142,2872,69.33848382423949,0.306615161757605
2017,Demas enfermedades,27456,12026,-15430,-128.3053384333943,2.283053384333943
2017,Enfermedades Infecciosas y Parasitarias,4986,36551,31565,86.35878635331454,0.13641213646685454
2017,Enfermedades del aparato circulatorio,14167,30972,16805,54.258685264109516,0.4574131473589048
2017,Enfermedades del sistema digestivo,9018,13420,4402,32.801788375558864,0.6719821162444113
2017,Enfermedades del sistema respiratorio,14796,18850,4054,21.50663129973475,0.7849336870026525
2017,Enfermedades mentales y del sistema nervioso,2188,6017,3829,63.63636363636363,0.36363636363636365
2017,Enfermedades metabolicas y nutricionales,6631,10171,3540,34.80483728246977,0.6519516271753023
2017,Enfermedades neoplasicas,12077,31654,19577,61.846844000758196,0.381531559992418
2017,Lesiones y causas externas,6585,14636,8051,55.008198961464885,0.4499180103853512
2018,Afecciones perinatales,1570,4226,2656,62.8490298154283,0.37150970184571697
2018,Demas enfermedades,34305,12582,-21723,-172.65140677157845,2.7265140677157844
2018,Enfermedades Infecciosas y Parasitarias,5803,32071,26268,81.90577156933054,0.1809422843066945
2018,Enfermedades del aparato circulatorio,15634,31198,15564,49.88781332136675,0.5011218667863324
2018,Enfermedades del sistema digestivo,9986,14573,4587,31.476017292252795,0.685239827077472
2018,Enfermedades del sistema respiratorio,15932,15765,-167,-1.0593085949888994,1.010593085949889
2018,Enfermedades mentales y del sistema nervioso,2395,5632,3237,57.47514204545454,0.42524857954545453
2018,Enfermedades metabolicas y nutricionales,7505,13200,5695,43.1439393939394,0.5685606060606061
2018,Enfermedades neoplasicas,14180,35094,20914,59.59423263235881,0.40405767367641193
2018,Lesiones y causas externas,7745,16357,8612,52.65024148682521,0.4734975851317479
2019,Afecciones perinatales,1708,4029,2321,57.607346736162825,0.4239265326383718
2019,Demas enfermedades,37444,11566,-25878,-223.7420024208888,3.237420024208888
2019,Enfermedades Infecciosas y Parasitarias,6360,33430,27070,80.97517200119653,0.1902482799880347
2019,Enfermedades del aparato circulatorio,17988,31509,13521,42.911549081214886,0.570884509187851
2019,Enfermedades del sistema digestivo,11131,13482,2351,17.43806556890669,0.8256193443109331
2019,Enfermedades del sistema respiratorio,17653,18733,1080,5.765227139272941,0.9423477286072706
2019,Enfermedades mentales y del sistema nervioso,2996,5589,2593,46.39470388262659,0.5360529611737341
2019,Enfermedades metabolicas y nutricionales,8402,12213,3811,31.20445427004012,0.6879554572995988
2019,Enfermedades neoplasicas,16593,36976,20383,55.1249459108611,0.448750540891389
2019,Lesiones y causas externas,8471,16872,8401,49.792555713608344,0.5020744428639166
2020,Afecciones perinatales,1385,3261,1876,57.52836553204539,0.42471634467954616
2020,Demas enfermedades,47105,11099,-36006,-324.40760428867463,4.244076042886746
2020,Enfermedades Infecciosas y Parasitarias,65299,123790,58491,47.25018175943129,0.527498182405687
2020,Enfermedades del aparato circulatorio,33215,39544,6329,16.00495650414728,0.8399504349585272
2020,Enfermedades del sistema digestivo,14973,10283,-4690,-45.60925799863853,1.4560925799863853
2020,Enfermedades del sistema respiratorio,18631,12318,-6313,-51.25020295502517,1.5125020295502516
2020,Enfermedades mentales y del sistema nervioso,4207,3697,-510,-13.794968893697593,1.137949688936976
2020,Enfermedades metabolicas y nutricionales,17475,13902,-3573,-25.701337936987485,1.2570133793698748
2020,Enfermedades neoplasicas,20426,32346,11920,36.85154269461448,0.6314845730538552
2020,Lesiones y causas externas,6922,13083,6161,47.09164564702286,0.5290835435297715
2021,Afecciones perinatales,1616,3331,1715,51.486040228159716,0.48513959771840287
2021,Demas enfermedades,47625,12871,-34754,-270.0178696293994,3.700178696293994
2021,Enfermedades Infecciosas y Parasitarias,78040,127012,48972,38.556986741410256,0.6144301325858974
2021,Enfermedades del aparato circulatorio,39899,42746,2847,6.660272306180695,0.9333972769381931
2021,Enfermedades del sistema digestivo,16389,11642,-4747,-40.774780965469844,1.4077478096546985
2021,Enfermedades del sistema respiratorio,21537,11787,-9750,-82.71824891829982,1.8271824891829982
2021,Enfermedades mentales y del sistema nervioso,4670,4734,64,1.351922264469793,0.986480777355302
2021,Enfermedades metabolicas y nutricionales,19589,14054,-5535,-39.383805322328165,1.3938380532232817
2021,Enfermedades neoplasicas,21907,34321,12414,36.170274758893974,0.6382972524110603
2021,Lesiones y causas externas,8996,16273,7277,44.71824494561544,0.5528175505438456
2022,Afecciones perinatales,1583,3084,1501,48.670557717250325,0.5132944228274967
2022,Demas enfermedades,35462,11564,-23898,-206.6585956416465,3.066585956416465
2022,Enfermedades Infecciosas y Parasitarias,12567,47816,35249,73.71800234231219,0.26281997657687806
2022,Enfermedades del aparato circulatorio,29301,39003,9702,24.875009614645027,0.7512499038535497
2022,Enfermedades del sistema digestivo,14777,14559,-218,-1.497355587609039,1.0149735558760904
2022,Enfermedades del sistema respiratorio,21006,12928,-8078,-62.48452970297029,1.624845297029703
2022,Enfermedades mentales y del sistema nervioso,4064,5188,1124,21.66538164996145,0.7833461835003855
2022,Enfermedades metabolicas y nutricionales,11089,12251,1162,9.48494000489756,0.9051505999510244
2022,Enfermedades neoplasicas,21663,36197,14534,40.15249882586955,0.5984750117413046
