year,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,Accidentes de transporte terrestre,2065,1814,-251,-13.836824696802646,1.1383682469680265
2017,Accidentes por Ahogamiento y sumersión,107,875,768,87.77142857142857,0.12228571428571429
2017,Accidentes por disparo de arma de fuego,34,197,163,82.74111675126903,0.17258883248730963
2017,Accidentes por fuerzas de la naturaleza,31,90,59,65.55555555555556,0.34444444444444444
2017,Accidentes por fuerzas mecanicas (inanimadas y animadas),5,54,49,90.74074074074075,0.09259259259259259
2017,Accidentes por otro tipo de transporte,123,605,482,79.66942148760332,0.20330578512396694
2017,Accidentes que obstruyen la respiración,92,1599,1507,94.24640400250156,0.05753595997498437
2017,Afecciones de la pleura,282,395,113,28.607594936708864,0.7139240506329114
2017,"Anemias hemoliticas, aplasticas y otras anemias",1123,857,-266,-31.03850641773629,1.310385064177363
2017,Aneurimas,89,226,137,60.61946902654868,0.3938053097345133
2017,"Apendicitis, hernia de la cavidad abdominal y obstrucción intestinal",634,1388,754,54.32276657060518,0.45677233429394815
2017,Arteriosclerosis,109,52,-57,-109.61538461538463,2.0961538461538463
2017,Asma,110,621,511,82.2866344605475,0.17713365539452497
2017,Caídas,35,233,198,84.97854077253218,0.15021459227467812
2017,Ciertas enfermedades inmunoprevenibles,34,34,0,0.0,1.0
2017,Ciertas enfermedades transmitidas por vectores y rabia,60,151,91,60.264900662251655,0.3973509933774834
2017,Cirrosis y ciertas otras enfermedades crónicas del hígado,2671,6838,4167,60.93887101491664,0.3906112898508336
2017,Defectos de la coagulación en organos hematopoyeticos y trastornos que afectan al mecanismo de la inmunidad,202,462,260,56.27705627705628,0.43722943722943725
2017,Deficiencias nutricionales y anemias nutricionales,1735,2046,311,15.20039100684262,0.8479960899315738
2017,Degeneracion de sistemas multiples,59,91,32,35.16483516483517,0.6483516483516484
2017,Diabetes mellitus,2818,5532,2714,49.06001446131598,0.5093998553868402
2017,Edema Pulmonar,276,671,395,58.867362146050674,0.4113263785394933
2017,Edema cerebral,430,1856,1426,76.83189655172413,0.23168103448275862
2017,"Embolia, trombosis arteriales y otros trastornos arteriales o arteriolares",196,169,-27,-15.976331360946746,1.1597633136094674
2017,Encefalitis viral,13,94,81,86.17021276595744,0.13829787234042554
2017,"Encefalitis, mielitis y encefalomielitis",94,246,152,61.78861788617886,0.3821138211382114
2017,"Enfermedad cardiopulmonar, enfermedades de la circulación pulmonar",191,2122,1931,90.9990574929312,0.09000942507068803
2017,Enfermedad de Alzheimer,224,333,109,32.732732732732735,0.6726726726726727
2017,Enfermedad del parkinson,242,409,167,40.831295843520785,0.5916870415647921
2017,Enfermedad por el VIH (SIDA),705,1398,693,49.57081545064378,0.5042918454935622
2017,Enfermedad pulmonar intersticial,2424,5674,3250,57.278815650334856,0.42721184349665137
2017,Enfermedad pulmonar obstructiva cronica (EPOC),863,1824,961,52.68640350877193,0.4731359649122807
2017,Enfermedades cerebrovasculares,2805,9513,6708,70.51403342794072,0.29485966572059286
2017,Enfermedades de la piel,579,1059,480,45.3257790368272,0.546742209631728
2017,"Enfermedades del esofago, estomago y del duodeno",510,685,175,25.547445255474454,0.7445255474452555
