year,sexo,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,Hombre,Accidentes de transporte terrestre,1506,1262,-244,-19.334389857369256,1.1933438985736926
2017,Hombre,Accidentes por Ahogamiento y sumersión,82,711,629,88.46694796061885,0.11533052039381153
2017,Hombre,Accidentes por disparo de arma de fuego,31,173,142,82.08092485549133,0.1791907514450867
2017,Hombre,Accidentes por fuerzas de la naturaleza,15,49,34,69.38775510204081,0.30612244897959184
2017,Hombre,Accidentes por fuerzas mecanicas (inanimadas y animadas),4,34,30,88.23529411764706,0.11764705882352941
2017,Hombre,Accidentes por otro tipo de transporte,80,421,341,80.9976247030879,0.19002375296912113
2017,Hombre,Accidentes que obstruyen la respiración,64,1093,1029,94.14455626715463,0.0585544373284538
2017,Hombre,Afecciones de la pleura,163,233,70,30.042918454935624,0.6995708154506438
2017,Hombre,"Anemias hemoliticas, aplasticas y otras anemias",553,403,-150,-37.220843672456574,1.3722084367245657
2017,Hombre,Aneurimas,51,152,101,66.44736842105263,0.3355263157894737
2017,Hombre,"Apendicitis, hernia de la cavidad abdominal y obstrucción intestinal",391,854,463,54.215456674473074,0.45784543325526933
2017,Hombre,Arteriosclerosis,51,27,-24,-88.88888888888889,1.8888888888888888
2017,Hombre,Asma,51,326,275,84.3558282208589,0.15644171779141106
2017,Hombre,Caídas,30,162,132,81.48148148148148,0.18518518518518517
2017,Hombre,Ciertas enfermedades inmunoprevenibles,20,15,-5,-33.33333333333333,1.3333333333333333
2017,Hombre,Ciertas enfermedades transmitidas por vectores y rabia,39,96,57,59.375,0.40625
2017,Hombre,Cirrosis y ciertas otras enfermedades crónicas del hígado,1690,4554,2864,62.88976723759332,0.37110232762406675
2017,Hombre,Defectos de la coagulación en organos hematopoyeticos y trastornos que afectan al mecanismo de la inmunidad,106,272,166,61.029411764705884,0.3897058823529412
2017,Hombre,Deficiencias nutricionales y anemias nutricionales,872,985,113,11.472081218274113,0.8852791878172589
2017,Hombre,Degeneracion de sistemas multiples,38,54,16,29.629629629629626,0.7037037037037037
2017,Hombre,Diabetes mellitus,1360,2844,1484,52.18002812939522,0.4781997187060478
2017,Hombre,Edema Pulmonar,181,470,289,61.48936170212767,0.3851063829787234
2017,Hombre,Edema cerebral,269,1250,981,78.48,0.2152
2017,Hombre,"Embolia, trombosis arteriales y otros trastornos arteriales o arteriolares",100,79,-21,-26.582278481012654,1.2658227848101267
2017,Hombre,Encefalitis viral,7,57,50,87.71929824561403,0.12280701754385964
2017,Hombre,"Encefalitis, mielitis y encefalomielitis",57,146,89,60.95890410958904,0.3904109589041096
2017,Hombre,"Enfermedad cardiopulmonar, enfermedades de la circulación pulmonar",95,1102,1007,91.37931034482759,0.08620689655172414
2017,Hombre,Enfermedad de Alzheimer,85,133,48,36.09022556390977,0.6390977443609023
2017,Hombre,Enfermedad del parkinson,153,247,94,38.05668016194332,0.6194331983805668
2017,Hombre,Enfermedad por el VIH (SIDA),556,1126,570,50.62166962699822,0.4937833037300178
2017,Hombre,Enfermedad pulmonar intersticial,1293,2985,1692,56.68341708542714,0.43316582914572865
2017,Hombre,Enfermedad pulmonar obstructiva cronica (EPOC),431,941,510,54.19766206163656,0.4580233793836344
2017,Hombre,Enfermedades cerebrovasculares,1460,4915,3455,70.29501525940996,0.2970498474059003
2017,Hombre,Enfermedades de la piel,236,463,227,49.0280777537797,0.509719222462203
2017,Hombre,"Enfermedades del esofago, estomago y del duodeno",245,363,118,32.5068870523416,0.6749311294765841
2017,Hombre,"Enfermedades del peritoneo, peritonitis y otros",197,435,238,54.71264367816092,0.4528735632183908
2017,Hombre,Enfermedades del pulmon debidas a agentes externos,221,758,537,70.84432717678101,0.29155672823219
2017,Hombre,Enfermedades del sistema urinario,481,811,330,40.6905055487053,0.593094944512947
2017,Hombre,Enfermedades hipertensivas,2133,1603,-530,-33.0630068621335,1.330630068621335
2017,Hombre,Enfermedades infecciosas intestinales,118,277,159,57.400722021660656,0.4259927797833935
2017,Hombre,Enfermedades isquémicas del corazón,1618,5739,4121,71.80693500609863,0.2819306499390138
2017,Hombre,"Envenenamientos por, y exposición a sustancias nocivas",13,142,129,90.84507042253522,0.09154929577464789
2017,Hombre,Epilepsia y estado de mal epileptico,148,288,140,48.61111111111111,0.5138888888888888
2017,Hombre,Esclerosis multiple,12,8,-4,-50.0,1.5
2017,Hombre,"Eventos relacionados al embarazo, parto y puerperio",84,0,-84,,
2017,Hombre,Exposición a la corriente eléctrica,17,101,84,83.16831683168317,0.16831683168316833
